RowId,Word
1,financial
2,digital
3,services
4,economic
5,key
6,market
7,findings
8,platforms
9,bitcoin
10,payments
11,investors
12,insurance
13,technology
14,risk
15,transactions
16,asset
17,incumbents
18,regulators
19,institutions
20,capital
21,equity
22,global
23,investment
24,business
25,future
26,firms
27,solutions
28,management
29,infrastructure
30,potential
31,crowdfunding
32,cryptocurrency
33,contract
34,ecosystem
35,online
36,iot
37,transfer
38,kba
39,trade
40,saas
41,credit
42,markets
43,startup
44,loan
45,assets
46,validation
47,automated
48,role
49,lead
50,ledger
51,fintech
52,wef
53,lending
54,legal
55,costs
56,api
57,settlement
58,insurtech
59,partnerships
60,growth
61,evidence
62,loss
63,blockchain
64,regtech
65,mobile
66,development
67,underwriting
68,tokenization
69,exchange
70,government
71,experience
72,idps
73,money
74,stakeholders
75,innovation
76,network
77,funds
78,counterparty
79,retail
80,instech
81,unbanked
82,fico
83,interest
84,revenue
85,profit
86,recession
87,debt
88,collateral
89,debit
90,research
91,merger
92,account
93,funding
94,acquisition
95,shares
96,compliance
97,floating
98,overdraft
99,neobank
100,ai
